"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","INTERSECTION_RELATED","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","ROADWAY_CLEARED","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2023068651","2112","0","0","0","0","0","0","0","0","0","8","0","","67","07","2023","1","40.0194","-75.0559","2111","06","0","0","0","0","0","0","0","0","","0","0","0","21","3","1","00","N","0","40 01:09.776","","00","75 03:21.320","8","0","0","0","67301","1","0","0","N","1","0","0","2","67301","0","","1","01","","N","N","N","0","","0","0","1","0","0","","2111","1","2","0","0","0","1","0","2","0","1","03","03","N","","","","","","","","","","",""
"2023060982","1800","2","0","0","0","0","0","0","0","0","4","0","","67","07","2023","6","40.0474","-75.1565","1800","06","0","0","0","0","0","0","0","0","","0","0","0","18","1","2","01","","0","40 02:50.604","","00","75 09:23.324","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1","01","","N","N","N","0","","2","0","0","3","3","","1800","2","2","0","0","0","0","0","2","0","2","03","","N","","","","","","","","","","",""
"2023067313","1457","3","0","0","0","0","0","0","0","0","1","0","","67","07","2023","1","39.9239","-75.1784","1455","06","0","0","0","0","0","0","0","0","","0","0","0","14","1","0","00","N","0","39 55:26.005","","00","75 10:42.146","9","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1","01","","N","N","N","0","","0","0","0","0","0","","1450","0","3","0","0","0","0","2","2","0","3","03","","N","","","","","","","","","","",""
"2023088624","0325","1","0","0","0","0","0","0","0","0","1","0","","67","09","2023","7","39.9579","-75.1622","0323","06","0","0","0","0","0","1","0","0","","0","0","0","03","3","0","00","N","0","39 57:28.491","","00","75 09:43.810","0","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1","01","","N","N","N","0","","0","0","0","0","0","","0315","0","2","0","0","0","0","0","2","1","2","03","","N","","","","","","","","","","",""
"2023067074","0020","1","0","0","0","0","0","0","0","0","8","0","","67","07","2023","6","39.9502","-75.1586","0017","06","0","0","0","0","0","0","0","0","","0","0","0","23","3","1","01","","0","39 57:00.640","","00","75 09:31.162","3","0","0","0","67301","1","0","0","N","1","0","0","2","67301","0","","1","09","","N","N","N","0","","1","0","0","3","2","","2318","1","2","0","0","0","0","0","2","0","1","03","03","N","","","","","","","","","","",""
"2023053824","0945","2","0","0","0","0","0","0","0","0","4","0","","67","06","2023","2","39.9507","-75.2411","0930","06","0","0","0","0","0","1","0","0","","0","0","0","09","1","2","01","","0","39 57:02.487","","00","75 14:27.938","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1","01","","N","N","N","0","","2","0","0","3","2","","0918","2","2","0","0","1","0","1","2","0","2","03","03","N","","","","","","","","","","",""
"2023051915","1607","1","0","0","0","0","0","0","0","0","3","0","","67","06","2023","1","40.0139","-75.097","1558","06","0","0","0","0","0","0","0","0","","0","0","0","15","1","1","00","N","0","40 00:49.900","","07","75 05:49.200","8","0","0","1","67301","0","0","0","N","0","0","0","2","67301","0","","1","01","","N","N","N","0","","0","0","0","0","0","","1521","1","2","0","0","0","1","0","2","0","2","04","04","N","","","","","","","","","","",""
"2023077925","0917","0","0","0","0","0","0","0","0","0","1","0","","67","09","2023","7","39.9572","-75.1573","0910","06","0","0","0","0","0","0","0","0","","0","0","0","09","1","0","00","N","1","39 57:25.815","3","00","75 09:26.193","0","0","0","0","67301","0","0","0","N","0","0","0","6","68K01","0","","1","01","0020","N","N","N","0","","0","0","2","0","0","N","0906","0","2","0","0","0","0","0","2","0","2","03","03","N","","","","","","","","","","",""
"2023058082","2027","2","0","0","0","0","0","0","0","0","1","0","","67","06","2023","3","39.9913","-75.0861","2027","06","0","0","0","0","0","0","1","0","","0","0","0","19","1","2","00","N","0","39 59:28.637","","00","75 05:10.049","8","0","0","0","67301","0","0","0","N","0","0","0","4","68K01","0","","1","01","","N","N","N","0","","0","0","0","0","0","","1951","2","3","0","0","0","2","1","2","1","3","03","","N","","","","","","","","","","",""
"2023066158","1150","0","0","0","0","0","0","0","0","0","5","0","","67","07","2023","1","39.9401","-75.1979","1150","06","0","0","0","0","0","0","0","0","","0","0","0","15","1","1","00","N","0","39 56:24.303","","00","75 11:52.583","3","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","1","09","","N","N","N","0","","1","0","2","0","0","","1540","1","2","0","0","0","0","0","2","0","2","07","07","N","","","","","","","","","","",""
"2023086942","1216","2","0","0","0","0","0","0","0","0","1","0","","67","09","2023","7","40.0444","-75.0026","1155","06","0","0","0","0","0","2","0","0","","0","0","0","11","1","1","00","N","1","40 02:39.844","2","00","75 00:09.522","8","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1","09","1220","N","N","N","0","","0","0","0","0","0","N","1149","1","2","0","0","0","1","0","2","0","2","07","07","N","","","","","","","","","","",""
